entry_time,exit_time,side,exit_reason,beta,entry_z,exit_z,eth_qty,btc_qty,entry_eth,exit_eth,entry_btc,exit_btc,gross_pnl,funding_pnl,fee_cost,slippage_cost,net_pnl,holding_bars
2025-11-08 04:00:00,2025-11-10 04:00:00,SHORT_SPREAD,TIME_STOP,1.47188223723943,2.083224290542532,2.966789596826358,0.32459647381051027,0.016085476462100474,3452.51,3626.44,102545.8,105990.6,-1.0458153732182325,-0.0998560319734082,2.2608838247888325,1.1304419123944163,-4.53699714237489,48
2025-11-10 05:00:00,2025-11-11 23:00:00,SHORT_SPREAD,MEAN_REVERT,1.2194855391105328,2.6724560421315733,-0.14076263263433983,0.20160787959054388,0.00837779471855668,3615.98,3428.47,106115.9,102940.1,11.197293034830714,0.0069748491769736284,1.2686579520256769,0.6343289760128384,9.301280955969172,42
2025-11-12 15:00:00,2025-11-14 15:00:00,LONG_SPREAD,TIME_STOP,1.233336327266731,-1.9739984952569651,-0.08270041844339822,0.3199408333142712,0.01328977524477839,3500.94,3197.85,103948.5,96497.7,2.048590224572365,0.22696605293959185,1.9228405605868824,0.9614202802934412,-0.6087045633683666,48
2025-11-15 16:00:00,2025-11-16 04:00:00,SHORT_SPREAD,MEAN_REVERT,1.3683109340873643,1.6822436345607954,-1.3434157134018692,0.506137395559471,0.022920265586895493,3184.5,3201.56,96222.1,95782.0,-18.721912853037388,0.0,3.0532034968237425,1.5266017484118712,-23.301718098273,12
2025-11-16 08:00:00,2025-11-17 16:00:00,LONG_SPREAD,MEAN_REVERT,1.416381951597995,-1.6489651167304924,0.09991663334728428,0.7370180886949277,0.03497115511818112,3218.22,3119.47,96064.8,93915.8,2.3724760903471207,0.1527005654003894,4.525933281034431,2.2629666405172153,-4.263723265804136,32
2025-11-18 11:00:00,2025-11-20 11:00:00,SHORT_SPREAD,TIME_STOP,1.4425064325495136,1.588789905044375,0.7269842414346707,0.40146315377580144,0.01938785318483166,3064.5,3014.11,91536.3,91770.1,24.762608393376283,-0.07867549650358657,2.3977022048852605,1.1988511024426303,21.087379589544806,48
2025-11-21 00:00:00,2025-11-23 00:00:00,SHORT_SPREAD,TIME_STOP,1.2878943924701616,2.0412078038750927,1.37849394175647,0.5009508404634276,0.02110526898127436,2832.96,2769.06,86601.4,84689.4,-8.342515586583502,-0.08059116049689236,2.5685900141242404,1.2842950070621202,-12.275991768266755,48
2025-11-23 18:00:00,2025-11-24 17:00:00,SHORT_SPREAD,MEAN_REVERT,1.1623806757888004,1.9004394822237114,-1.3193175123089167,0.775015944162398,0.02900343539214813,2791.3,2857.47,86699.4,87123.3,-38.98824876249374,0.16810498547444613,3.76773690561799,1.883868452808995,-44.47174913544628,23
2025-11-24 21:00:00,2025-11-26 11:00:00,LONG_SPREAD,MEAN_REVERT,1.3329496886502616,-3.6274030377362005,0.034429458622881895,1.4773218729105309,0.06572753126137836,2971.25,2912.74,89018.6,86916.1,51.75403169305251,-0.4859740649971984,8.102520248479221,4.051260124239611,39.114277255336475,38
2025-11-26 18:00:00,2025-11-28 18:00:00,SHORT_SPREAD,TIME_STOP,1.2560241329030868,2.8513504306312454,1.2469219858693092,0.8718666793527536,0.0369001905067834,3025.66,3033.6,89792.4,90621.2,23.660256457961278,-0.16580823709781678,4.776065242219833,2.3880326211099163,16.33035035753371,48
