bar,bar_offset,pred_dir,actual_dir,dir_correct,pct_err,pred_vol,actual_vol,vol_ratio,close,rsi,trend,vol_pct
808,4,-1,1,False,0.7429275868414876,1476.2812,959.010000000002,1.5393804548440546,59337.42,50.74928537077025,DOWNTREND,12.0
808,5,-1,1,False,1.2189720422994217,1534.8633,441.4400000000023,3.4769465414325658,59573.39,50.74928537077025,DOWNTREND,12.0
832,0,-1,-1,True,0.29272727915939717,930.27344,838.25,1.1097804205189383,59361.14,49.953377261235616,UPTREND,48.0
832,1,-1,-1,True,0.15646319301381756,1124.7031,1351.9800000000032,0.8318933157295206,59511.8,49.953377261235616,UPTREND,48.0
832,2,-1,1,False,3.349420628958909,1175.9922,2250.199999999997,0.5226167396231453,61570.0,49.953377261235616,UPTREND,48.0
832,3,-1,1,False,2.9320026271325963,1101.3906,918.8000000000029,1.1987272801480153,61156.03,49.953377261235616,UPTREND,48.0
832,4,-1,1,False,1.5000814424374371,1162.7188,1504.1299999999974,0.7730174585973301,60548.9,49.953377261235616,UPTREND,48.0
832,5,1,1,True,1.8883338087288315,1019.72266,654.25,1.5586131543752388,60984.31,49.953377261235616,UPTREND,48.0
856,0,1,1,True,0.37955050818087777,807.71875,236.7300000000032,3.4119830608709885,63873.91,64.93218228038896,UPTREND,2.0
856,1,1,1,True,0.3508682305414374,999.6836,483.0,2.069738289337474,64132.16,64.93218228038896,UPTREND,2.0
856,2,1,1,True,0.22020454439586126,891.2656,248.6600000000035,3.5842742097642866,64187.41,64.93218228038896,UPTREND,2.0
856,3,-1,1,False,0.7284651393646838,958.60156,877.510000000002,1.0924109839204086,64220.0,64.93218228038896,UPTREND,2.0
856,4,-1,1,False,0.7634503159869447,1027.6367,691.0,1.487173254341534,64114.99,64.93218228038896,UPTREND,2.0
856,5,-1,-1,True,0.2757621625627262,858.3672,785.3099999999977,1.0930297430314175,63627.01,64.93218228038896,UPTREND,2.0
880,0,1,1,True,0.5088671935999493,1071.707,1103.0,0.9716292214415231,60067.06,42.90383900492653,DOWNTREND,80.0
880,1,1,1,True,1.8376244694183037,1264.1094,1176.989999999998,1.0740187894544577,60779.99,42.90383900492653,DOWNTREND,80.0
880,2,-1,-1,True,0.5260102011542745,1378.1484,2044.989999999998,0.6739145118069044,59258.0,42.90383900492653,DOWNTREND,80.0
880,3,1,-1,False,0.8932039655816327,1630.8164,925.2800000000061,1.7625112465956134,59359.01,42.90383900492653,DOWNTREND,80.0
880,4,1,-1,False,1.6529196934849377,1472.9609,587.9400000000023,2.5052912499574687,59032.01,42.90383900492653,DOWNTREND,80.0
880,5,1,-1,False,1.041225983236352,1361.2891,897.8600000000006,1.5161484669102077,59271.1,42.90383900492653,DOWNTREND,80.0
904,0,1,1,True,0.6198003864468238,1416.2578,1160.6399999999994,1.2202386721980982,58422.01,45.4717285748375,DOWNTREND,86.0
904,1,1,1,True,0.7990233137488971,1148.7852,704.0,1.6317970969460227,58537.99,45.4717285748375,DOWNTREND,86.0
904,2,1,1,True,0.44243061343781537,1237.0312,373.5199999999968,3.3118206521739415,58439.99,45.4717285748375,DOWNTREND,86.0
904,3,1,1,True,1.3471966826664243,1407.3281,1041.0800000000017,1.3517963316940078,59132.13,45.4717285748375,DOWNTREND,86.0
904,4,1,1,True,1.137990583476944,1028.0508,788.0299999999988,1.304583304252378,59110.99,45.4717285748375,DOWNTREND,86.0
904,5,1,1,True,1.1658549131310056,1298.6562,387.0,3.355700904392765,59112.0,45.4717285748375,DOWNTREND,86.0
928,0,1,1,True,0.016880575648646243,1861.9141,623.1100000000006,2.9880985098939163,55999.09,37.685993655770574,DOWNTREND,48.0
928,1,1,-1,False,4.1517075882676275,1839.6523,3200.0,0.574891357421875,54045.01,37.685993655770574,DOWNTREND,48.0
928,2,1,-1,False,7.053149519336024,1966.6875,1167.4599999999991,1.6845866239528562,53534.28,37.685993655770574,DOWNTREND,48.0
928,3,1,-1,False,6.491529631337932,2371.3398,1419.989999999998,1.669969396791529,53962.97,37.685993655770574,DOWNTREND,48.0
928,4,1,-1,False,7.588650648071462,1732.7617,350.1100000000006,4.94919230741766,53818.91,37.685993655770574,DOWNTREND,48.0
928,5,1,-1,False,7.142531281085363,2584.707,591.3700000000026,4.370710437205115,54286.0,37.685993655770574,DOWNTREND,48.0
952,0,1,1,True,0.35548595093310964,1431.5273,499.34999999999854,2.866781503454499,57228.0,62.71825013588978,UPTREND,4.0
952,1,1,-1,False,1.3481449108594248,1349.2773,966.6700000000055,1.3957993356057312,56596.0,62.71825013588978,UPTREND,4.0
952,2,1,1,True,1.2514770303049059,1379.8242,1478.3600000000006,0.9333479117062147,57952.01,62.71825013588978,UPTREND,4.0
